agent,time,x,y,z
0,0,0,0,0
1,0,9,0,0
0,1,1,0,0
1,1,8,0,0
0,2,2,0,0
1,2,7,0,0
0,3,3,0,0
1,3,6,0,0
0,4,4,0,0
1,4,5,0,0
0,5,4,1,0
1,5,4,0,0
0,6,5,1,0
1,6,3,0,0
0,7,6,1,0
1,7,2,0,0
0,8,7,1,0
1,8,1,0,0
0,9,8,1,0
1,9,0,0,0
0,10,9,1,0
1,10,0,1,0
0,11,9,2,0
1,11,0,2,0
0,12,9,3,0
1,12,0,3,0
0,13,9,4,0
1,13,0,4,0
0,14,9,5,0
1,14,0,5,0
0,15,9,6,0
1,15,0,6,0
0,16,9,7,0
1,16,0,7,0
0,17,9,8,0
1,17,0,8,0
0,18,9,9,0
1,18,0,9,0
0,19,9,9,1
1,19,0,9,1
0,20,9,9,2
1,20,0,9,2
0,21,9,9,3
1,21,0,9,3
0,22,9,9,4
1,22,0,9,4
0,23,9,9,5
1,23,0,9,5
0,24,9,9,6
1,24,0,9,6
0,25,9,9,7
1,25,0,9,7
0,26,9,9,8
1,26,0,9,8
0,27,9,9,9
1,27,0,9,9
